TIME ,VO2/kg  ,VO2   ,VCO2  ,VE     ,RER  ,RER  ,RR  ,Vt    ,HR  ,WorkR ,HR  ,VE/VCO2,VE/VO2,FEO2  ,FECO2 
0.556333303,5.006822586,0.413062871,0.313986182,15.40772533,0.760141373,0.760141373,23.36728668,0.659371614,74,0,74,49.0713501,37.30116264,17.86024475,2.505162001
1.000500083,6.45389843,0.532446623,0.396986693,18.71442604,0.745589674,0.745589674,20.26266098,0.923591733,77,0,77,47.14119339,35.14798523,17.68206215,2.606122255
1.537166834,8.082237244,0.666784585,0.484067678,20.86538506,0.725973129,0.725973129,22.36025047,0.933146298,79,0,79,43.10427094,31.29254264,17.29653931,2.846492767
2.008000135,8.886936188,0.733172238,0.540213645,22.72853851,0.736816823,0.736816823,21.23893738,1.070135355,80,0,80,42.07324219,31.0002716,17.25333405,2.915244341
2.50966692,8.770524025,0.723568201,0.564359248,23.09319115,0.779966891,0.779966891,21.9269104,1.053189516,77,0,77,40.91931152,31.91570763,17.32483101,2.996237755
3.003000259,9.759192467,0.805133402,0.642314196,25.6779747,0.7977736,0.7977736,24.32432365,1.055650115,81,0,81,39.97727966,31.89282004,17.30809593,3.065864325
3.53483367,9.948022842,0.820711911,0.67116344,26.00120354,0.817781985,0.817781985,24.44375038,1.063715816,85,0,85,38.74049377,31.68127962,17.26784706,3.162426233
4.001833916,10.57375526,0.872334838,0.725169301,27.30314445,0.83129698,0.83129698,23.55460358,1.159142613,86,0,86,37.65071869,31.29892704,17.21205139,3.252777576
4.527667046,11.35026073,0.936396539,0.815384507,30.33543587,0.870768368,0.870768368,22.82091713,1.329282045,86.5,0,86.5,37.20384216,32.39592908,17.30743217,3.291296959
5.040667057,11.34340572,0.935830951,0.836771548,30.67472839,0.894148171,0.894148171,23.39181328,1.311344624,90.5,0,90.5,36.65842819,32.77806569,17.33171654,3.339631319
5.537500858,11.81710052,0.974910796,0.905755341,33.71913528,0.92906481,0.92906481,24.15296745,1.39606595,85,0,85,37.22764206,34.58689289,17.49485207,3.289124727
6.022333622,11.89341736,0.981206894,0.937969625,34.55759048,0.955934584,0.955934584,24.75077248,1.396222711,90.5,0,90.5,36.84297562,35.21947378,17.53740883,3.32300806
6.535666466,11.48950005,0.947883725,0.915327668,33.00252533,0.965653956,0.965653956,23.37662125,1.411774874,96,0,96,36.05542374,34.81706085,17.49101067,3.394704103
7.037666798,12.89392853,1.063749075,1.022881508,37.54536819,0.961581588,0.961581588,25.89641571,1.449828744,96,0,96,36.70549011,35.29532394,17.54066658,3.335296869
7.531000614,11.87243557,0.979475915,0.973477483,36.24726105,0.993875861,0.993875861,26.35135078,1.375537157,98,0,98,37.23482132,37.00679159,17.67577553,3.288407087
8.011001587,13.28927135,1.096364856,1.094696641,40.23867035,0.998478413,0.998478413,27.08333206,1.485735536,102,0,102,36.75782776,36.7018973,17.64548302,3.330554485
8.521668434,14.67245293,1.210477352,1.269492388,46.52976227,1.0487535,1.0487535,27.41514397,1.697228432,105,0,105,36.65225601,38.4391845,17.76125336,3.33996892
9.032669067,14.63755703,1.207598448,1.343995929,49.18091202,1.112949371,1.112949371,27.39726067,1.795103312,107.5,0,107.5,36.59305191,40.72621334,17.89983559,3.345235348
