date, rr, since start
2025-06-07 23:00:46 +0000, 741, 1500
2025-06-07 23:00:46 +0000, 750, 2250
2025-06-07 23:00:47 +0000, 782, 3032
2025-06-07 23:00:48 +0000, 746, 3778
2025-06-07 23:00:49 +0000, 717, 4495
2025-06-07 23:00:49 +0000, 735, 5230
2025-06-07 23:00:50 +0000, 792, 6022
2025-06-07 23:00:51 +0000, 840, 6862
2025-06-07 23:00:52 +0000, 866, 7728
2025-06-07 23:00:53 +0000, 856, 8584
2025-06-07 23:00:54 +0000, 773, 9357
2025-06-07 23:00:54 +0000, 737, 10094
2025-06-07 23:00:55 +0000, 743, 10837
2025-06-07 23:00:57 +0000, 768, 11605
2025-06-07 23:00:57 +0000, 856, 12461
2025-06-07 23:00:58 +0000, 919, 13380
2025-06-07 23:00:59 +0000, 976, 14356
2025-06-07 23:01:00 +0000, 995, 15351
2025-06-07 23:01:01 +0000, 932, 16283
2025-06-07 23:01:01 +0000, 862, 17145
2025-06-07 23:01:02 +0000, 843, 17988
2025-06-07 23:01:03 +0000, 877, 18865
2025-06-07 23:01:04 +0000, 957, 19822
2025-06-07 23:01:05 +0000, 1029, 20851
2025-06-07 23:01:06 +0000, 1055, 21906
2025-06-07 23:01:07 +0000, 1040, 22946
2025-06-07 23:01:08 +0000, 984, 23930
2025-06-07 23:01:09 +0000, 941, 24871
2025-06-07 23:01:10 +0000, 862, 25733
2025-06-07 23:01:11 +0000, 853, 26586
2025-06-07 23:01:12 +0000, 933, 27519
2025-06-07 23:01:13 +0000, 1012, 28531
2025-06-07 23:01:14 +0000, 1003, 29534
2025-06-07 23:01:15 +0000, 965, 30499
2025-06-07 23:01:16 +0000, 885, 31384
2025-06-07 23:01:16 +0000, 806, 32190
2025-06-07 23:01:17 +0000, 768, 32958
2025-06-07 23:01:18 +0000, 775, 33733
2025-06-07 23:01:19 +0000, 832, 34565
2025-06-07 23:01:20 +0000, 945, 35510
2025-06-07 23:01:21 +0000, 984, 36494
2025-06-07 23:01:22 +0000, 983, 37477
2025-06-07 23:01:23 +0000, 924, 38401
2025-06-07 23:01:24 +0000, 875, 39276
2025-06-07 23:01:24 +0000, 841, 40117
2025-06-07 23:01:25 +0000, 888, 41005
2025-06-07 23:01:27 +0000, 940, 41945
2025-06-07 23:01:27 +0000, 893, 42838
2025-06-07 23:01:28 +0000, 809, 43647
2025-06-07 23:01:30 +0000, 787, 44434
2025-06-07 23:01:30 +0000, 847, 45281
2025-06-07 23:01:30 +0000, 924, 46205
2025-06-07 23:01:31 +0000, 984, 47189
2025-06-07 23:01:32 +0000, 961, 48150
2025-06-07 23:01:33 +0000, 876, 49026
2025-06-07 23:01:34 +0000, 850, 49876
2025-06-07 23:01:35 +0000, 888, 50764
2025-06-07 23:01:36 +0000, 930, 51694
2025-06-07 23:01:37 +0000, 962, 52656
2025-06-07 23:01:39 +0000, 945, 53601
2025-06-07 23:01:39 +0000, 901, 54502
2025-06-07 23:01:40 +0000, 877, 55379
2025-06-07 23:01:41 +0000, 949, 56328
2025-06-07 23:01:42 +0000, 997, 57325
2025-06-07 23:01:43 +0000, 997, 58322
2025-06-07 23:01:44 +0000, 945, 59267
2025-06-07 23:01:44 +0000, 875, 60142
2025-06-07 23:01:45 +0000, 876, 61018
2025-06-07 23:01:46 +0000, 929, 61947
2025-06-07 23:01:47 +0000, 915, 62862
2025-06-07 23:01:48 +0000, 901, 63763
2025-06-07 23:01:49 +0000, 910, 64673
2025-06-07 23:01:51 +0000, 880, 65553
2025-06-07 23:01:51 +0000, 883, 66436
2025-06-07 23:01:52 +0000, 936, 67372
2025-06-07 23:01:53 +0000, 959, 68331
2025-06-07 23:01:54 +0000, 1010, 69341
2025-06-07 23:01:55 +0000, 928, 70269
2025-06-07 23:01:55 +0000, 875, 71144
2025-06-07 23:01:56 +0000, 850, 71994
2025-06-07 23:01:57 +0000, 890, 72884
2025-06-07 23:01:58 +0000, 929, 73813
2025-06-07 23:01:59 +0000, 972, 74785
2025-06-07 23:02:00 +0000, 913, 75698
2025-06-07 23:02:01 +0000, 873, 76571
2025-06-07 23:02:02 +0000, 832, 77403
2025-06-07 23:02:03 +0000, 861, 78264
2025-06-07 23:02:03 +0000, 905, 79169
2025-06-07 23:02:05 +0000, 951, 80120
2025-06-07 23:02:05 +0000, 971, 81091
2025-06-07 23:02:06 +0000, 899, 81990
2025-06-07 23:02:07 +0000, 875, 82865
2025-06-07 23:02:08 +0000, 939, 83804
2025-06-07 23:02:09 +0000, 922, 84726
2025-06-07 23:02:10 +0000, 914, 85640
2025-06-07 23:02:11 +0000, 894, 86534
2025-06-07 23:02:12 +0000, 865, 87399
2025-06-07 23:02:13 +0000, 915, 88314
2025-06-07 23:02:14 +0000, 963, 89277
2025-06-07 23:02:15 +0000, 1000, 90277
2025-06-07 23:02:16 +0000, 959, 91236
2025-06-07 23:02:16 +0000, 890, 92126
2025-06-07 23:02:17 +0000, 891, 93017
2025-06-07 23:02:18 +0000, 956, 93973
2025-06-07 23:02:19 +0000, 960, 94933
2025-06-07 23:02:20 +0000, 871, 95804
2025-06-07 23:02:21 +0000, 848, 96652
2025-06-07 23:02:22 +0000, 904, 97556
2025-06-07 23:02:24 +0000, 940, 98496
2025-06-07 23:02:24 +0000, 1005, 99501
2025-06-07 23:02:25 +0000, 938, 100439
2025-06-07 23:02:26 +0000, 953, 101392
2025-06-07 23:02:27 +0000, 972, 102364
2025-06-07 23:02:28 +0000, 923, 103287
2025-06-07 23:02:28 +0000, 861, 104148
2025-06-07 23:02:29 +0000, 808, 104956
2025-06-07 23:02:30 +0000, 841, 105797
2025-06-07 23:02:31 +0000, 875, 106672
2025-06-07 23:02:33 +0000, 895, 107567
2025-06-07 23:02:33 +0000, 923, 108490
2025-06-07 23:02:35 +0000, 919, 109409
2025-06-07 23:02:35 +0000, 975, 110384
2025-06-07 23:02:37 +0000, 1012, 111396
2025-06-07 23:02:37 +0000, 1008, 112404
2025-06-07 23:02:38 +0000, 866, 113270
2025-06-07 23:02:38 +0000, 847, 114117
2025-06-07 23:02:39 +0000, 757, 114874
2025-06-07 23:02:40 +0000, 705, 115579
2025-06-07 23:02:42 +0000, 810, 116389
2025-06-07 23:02:42 +0000, 937, 117326
2025-06-07 23:02:43 +0000, 916, 118242
2025-06-07 23:02:44 +0000, 1020, 119262
2025-06-07 23:02:45 +0000, 1057, 120319
2025-06-07 23:02:46 +0000, 1001, 121320
2025-06-07 23:02:47 +0000, 903, 122223
2025-06-07 23:02:47 +0000, 942, 123165
2025-06-07 23:02:48 +0000, 964, 124129
2025-06-07 23:02:49 +0000, 967, 125096
2025-06-07 23:02:51 +0000, 932, 126028
2025-06-07 23:02:51 +0000, 955, 126983
2025-06-07 23:02:52 +0000, 1057, 128040
2025-06-07 23:02:54 +0000, 1034, 129074
2025-06-07 23:02:54 +0000, 937, 130011
2025-06-07 23:02:55 +0000, 946, 130957
2025-06-07 23:02:56 +0000, 1005, 131962
2025-06-07 23:02:58 +0000, 1006, 132968
2025-06-07 23:02:58 +0000, 946, 133914
2025-06-07 23:03:00 +0000, 992, 134906
2025-06-07 23:03:00 +0000, 1042, 135948
2025-06-07 23:03:01 +0000, 973, 136921
2025-06-07 23:03:02 +0000, 834, 137755
2025-06-07 23:03:03 +0000, 804, 138559
2025-06-07 23:03:04 +0000, 843, 139402
2025-06-07 23:03:05 +0000, 949, 140351
2025-06-07 23:03:07 +0000, 1005, 141356
2025-06-07 23:03:07 +0000, 1017, 142373
2025-06-07 23:03:09 +0000, 954, 143327
2025-06-07 23:03:09 +0000, 872, 144199
2025-06-07 23:03:09 +0000, 852, 145051
2025-06-07 23:03:10 +0000, 906, 145957
2025-06-07 23:03:11 +0000, 991, 146948
2025-06-07 23:03:12 +0000, 1027, 147975
2025-06-07 23:03:13 +0000, 1029, 149004
2025-06-07 23:03:14 +0000, 1004, 150008
2025-06-07 23:03:16 +0000, 933, 150941
2025-06-07 23:03:16 +0000, 855, 151796
2025-06-07 23:03:18 +0000, 823, 152619
2025-06-07 23:03:19 +0000, 855, 153474
2025-06-07 23:03:19 +0000, 976, 154450
2025-06-07 23:03:20 +0000, 1041, 155491
2025-06-07 23:03:21 +0000, 1025, 156516
2025-06-07 23:03:23 +0000, 953, 157469
2025-06-07 23:03:24 +0000, 873, 158342
2025-06-07 23:03:25 +0000, 841, 159183
2025-06-07 23:03:25 +0000, 876, 160059
2025-06-07 23:03:25 +0000, 942, 161001
2025-06-07 23:03:27 +0000, 962, 161963
2025-06-07 23:03:27 +0000, 965, 162928
2025-06-07 23:03:28 +0000, 936, 163864
2025-06-07 23:03:29 +0000, 876, 164740
2025-06-07 23:03:30 +0000, 832, 165572
2025-06-07 23:03:32 +0000, 852, 166424
2025-06-07 23:03:32 +0000, 941, 167365
2025-06-07 23:03:34 +0000, 1000, 168365
2025-06-07 23:03:34 +0000, 1001, 169366
2025-06-07 23:03:36 +0000, 958, 170324
2025-06-07 23:03:36 +0000, 888, 171212
2025-06-07 23:03:36 +0000, 825, 172037
2025-06-07 23:03:37 +0000, 836, 172873
2025-06-07 23:03:39 +0000, 895, 173768
2025-06-07 23:03:39 +0000, 954, 174722
2025-06-07 23:03:41 +0000, 970, 175692
