TIME ,VO2/kg  ,VO2   ,VCO2  ,VE     ,RER  ,RER  ,RR  ,Vt    ,HR  ,WorkR ,HR  ,VE/VCO2,VE/VO2,FEO2  ,FECO2 
0.529333353,8.98160553,1.004143476,1.030525446,40.25873566,1.026273131,1.026273131,22.67002487,1.775857568,116,0,116,39.06622314,40.09261286,17.93851852,3.103453398
1.042000055,5.723476887,0.63988471,0.569233418,20.94829941,0.889587462,0.889587462,17.55526543,1.19327724,100,0,100,36.80089569,32.73761518,17.36882782,3.292223215
1.555833459,9.089356422,1.016190052,0.665032566,22.08704567,0.654437184,0.654437184,19.46156311,1.134906054,109.5,0,109.5,33.2119751,21.73515242,15.83220196,3.644243956
2.00966692,8.521632195,0.952718496,0.607943535,20.55122757,0.638114572,0.638114572,24.23797226,0.847893834,109,0,109,33.80450058,21.57114368,15.81232834,3.581124067
2.502333641,9.958529472,1.113363624,0.707290053,23.87959862,0.635273159,0.635273159,30.44655037,0.784312129,111,0,111,33.76210022,21.44815774,15.78625202,3.585581064
3.025333881,10.73153877,1.199786067,0.796327055,27.08197594,0.663724184,0.663724184,28.68068886,0.944258213,115,0,115,34.00860977,22.57233742,16.01133919,3.559786081
3.544834137,11.89039707,1.329346418,0.953743994,32.18922424,0.717453301,0.717453301,25.0240612,1.286330938,116,0,116,33.75038147,24.21432352,16.2899437,3.586556673
4.014333725,10.92205334,1.221085548,0.942658663,29.66024208,0.7719841,0.7719841,29.81895447,0.994677484,117,0,117,31.46445656,24.29006069,16.24818039,3.844067574
4.531000614,11.02982998,1.233134985,0.929080606,29.62677002,0.75342977,0.75342977,27.09677505,1.093368888,83,0,83,31.88826752,24.02556929,16.21588707,3.793557882
5.017333508,11.30501461,1.263900638,0.960959613,30.18743134,0.760312617,0.760312617,26.7306366,1.129319549,83,0,83,31.41383934,23.88433903,16.18072891,3.850227594
5.510333538,10.76134014,1.203117847,0.892059088,28.67858505,0.741456091,0.741456091,32.45436096,0.883658886,83,0,83,32.14875031,23.83688773,16.19108009,3.76317668
6.005333424,11.78044319,1.317053556,0.965000749,30.63088417,0.732696652,0.732696652,28.28282928,1.083020568,83,0,83,31.7418251,23.25712878,16.08213615,3.810931683
6.506166458,12.78012753,1.428818345,1.075273156,31.29768753,0.752561152,0.752561152,21.96339417,1.424993157,83,0,83,29.10673141,21.90459525,15.75945187,4.152262211
7.0121665,14.7994051,1.65457356,1.340306282,39.83701706,0.810061455,0.810061455,29.64426613,1.343835473,83,0,83,29.72232437,24.07690902,16.16701126,4.066939831
7.525333405,13.21603584,1.477552891,1.27539134,38.04896927,0.863178134,0.863178134,23.38421631,1.627121806,129,0,129,29.83317184,25.75134163,16.42567253,4.051855564
8.00683403,17.49175835,1.955578566,1.64415586,45.75302887,0.840751648,0.840751648,26.99896049,1.694621921,133,0,133,27.82767105,23.39615993,15.99526215,4.341037273
8.500499725,16.04146957,1.793436289,1.60177505,46.36652374,0.893131852,0.893131852,32.41053391,1.430600405,134,0,134,28.94696426,25.85345464,16.41446877,4.174613476
9.020500183,16.8065052,1.878967285,1.688664436,48.90338135,0.89871943,0.89871943,30.7692318,1.589359879,138.5,0,138.5,28.95979881,26.0267338,16.43921661,4.172769547
9.507998466,18.81680107,2.103718519,2.013715744,56.70631027,0.957217276,0.957217276,28.71794891,1.974594712,141,0,141,28.16003799,26.95527456,16.53987503,4.290027142
10.00600052,18.59583473,2.079014301,2.092282534,61.871418,1.006381989,1.006381989,36.14457321,1.711776137,144,0,144,29.57125473,29.7599771,16.91316032,4.08712244
10.50400162,20.51477432,2.293551922,2.326426983,68.39109039,1.014333725,1.014333725,36.14458084,1.892153382,148,0,148,29.39748001,29.81885422,16.9144268,4.111032486
11.00100231,17.40973854,1.946408868,1.989041328,58.57961655,1.021903157,1.021903157,32.19315338,1.819629669,150,0,150,29.45118141,30.09625445,16.94522667,4.103598118
11.5191679,20.55023575,2.297516346,2.303354502,68.96408081,1.002541065,1.002541065,34.73785782,1.985271573,152,0,152,29.94071579,30.01679659,16.9508152,4.037187576
12.01783562,20.92484856,2.339398146,2.235710382,66.05255127,0.955677569,0.955677569,40.10694885,1.646910429,50,0,50,29.54432297,28.23484809,16.74064636,4.090896606
12.50483608,26.14853287,2.923406124,2.820229769,84.42042542,0.964706779,0.964706779,43.12114716,1.957749963,103,0,103,29.93388176,28.87741964,16.82625961,4.038162708
13.00650215,26.50087929,2.962798357,2.946250439,87.31080627,0.994414747,0.994414747,41.86046982,2.085757971,108,0,108,29.63455009,29.46903426,16.88357735,4.07849741
13.52783489,28.12254906,3.144101143,3.321633816,99.03282166,1.056465268,1.056465268,42.19948959,2.346777678,38.5,0,38.5,29.81449127,31.49797578,17.09550285,4.054028511
14.01183701,29.79990387,3.331629276,3.617950201,109.1167603,1.085940242,1.085940242,45.45454788,2.400568485,37,0,37,30.15983009,32.75177134,17.2201252,4.008026123
14.51583672,29.63209343,3.312868118,3.727206945,115.7005692,1.125069499,1.125069499,45.63491821,2.535351753,37,0,37,31.04216385,34.92459253,17.42347717,3.895190477
15.00217152,29.70216942,3.320702553,3.743947029,118.182373,1.127456307,1.127456307,47.29266739,2.498957634,37,0,37,31.56625175,35.58956913,17.48750114,3.831181049
15.5025053,30.76799011,3.439861298,3.909054041,129.5738068,1.136398792,1.136398792,51.9653511,2.493465424,147.5,0,147.5,33.14709854,37.6683231,17.6720829,3.650362253
