"Outcome","Outcome_Name","Normality_p","Levene_p","Slope_Interaction_p"
"fmd_percent","Flow-Mediated Dilation",0.000368087906863507,0.264080307060226,0.799577872575015
"fmd_shear_baseline","Baseline Shear",4.46156744367548e-05,0.944764810739984,0.420994353145155
"fmd_shear_maximum","Maximum Shear",0.00523361184652386,0.930344332627435,0.198966707669826
"fmd_velocity_baseline","Baseline Velocity",0.000359298167622428,0.998813496936674,0.504227976927708
"fmd_velocity_maximum","Maximum Velocity",0.00162727984685323,0.446763003810675,0.770814428209505
"fmd_shear_areatomaximum","Shear Area to Maximum",0.020470968771801,0.296391690323865,0.762559025620845
"fmd_shear_auc","Shear AUC",0.0910321970972814,0.964864428431292,0.27956108913769
"cpet_sbp_sitting","Sitting Systolic BP",0.731554745495831,0.925787642160215,0.269026716435699
"cpet_dbp_sitting","Sitting Diastolic BP",0.961705518069806,0.91020544514418,0.149511767605517
"cpet_vo2peak_relative","VO2 Peak (mL/kig/min)",0.992685857594901,0.703998378639419,0.899521551728211
"cpet_vo2peak_absolute","VO2 Peak (L/min)",0.996629702087644,0.353130868469662,0.998413264401648
"cpet_vevo2","VE/VO2 at Peak",0.619596984245556,0.155021725649699,0.171705603833289
"cpet_vevco2slope_peak","VE/VCO2 Slope at Peak",0.492671829030397,0.288025741944868,0.029440389385939
"cpet_vevco2slope_at_vslope","VE/VCO2 Slope at VT",0.637898777642765,0.244000951078467,0.637111856009002
"cpet_vevco2_peak","VE/VCO2 at Peak",0.362222988352087,0.516875982917963,0.926126656308414
"cpet_vevco2_at_vslope","VE/VCO2 at VT",0.395987463678262,0.604429772611307,0.967603156173394
"cpet_ve","VE",0.62765081229332,0.52346413224835,0.875249393105524
"cpet_rr_peak","Peak Respiratory Rate",0.375736663448469,0.982519451761889,0.563158286053171
"cpet_vt_peak","Peak Tidal Volume",0.176688419597802,0.897690760260319,0.65786070901237
"cpet_o2pulse","Peak O2 Pulse",0.973524844490392,0.809620145468245,0.509107033126494
"cpet_petco2_peak","Peak PETCO2",0.919740738003432,0.98380040539878,0.177394746489705
"cpet_petco2_at_vslope","PETCO2 at VT",0.0715557458660069,0.454637616917273,0.471819851950169
"cpet_petco2_change","Change in PETCO2 from AT to Peak",0.0348947477302065,0.686953120957896,0.942045041655711
"cpet_rer","Peak RER",0.0102124266693866,0.434457349477831,0.209478661067369
"fss_sum","Fatigue Severity",0.778404336284167,0.273455771711361,0.074841559180204
"dsq_sum","Post-Exertional Malaise (DSQ)",0.514711163205574,0.65587364611784,0.278747242860583
"woods_sum","Mental Fatigue",0.38670548112059,0.308986967465292,0.00444198291398398
"vas_fatiguebest","VAS Fatigue - Best",0.705759241140618,0.646477707545128,0.910839166976443
"vas_fatigueworst","VAS Fatigue - Worst",0.312672286794425,0.878979271169612,0.909747051303629
"vas_fatiguecurrent","VAS Fatigue - Current",0.793140314011193,0.61278215508016,0.40896873330241
"psqi_sum","PSQI Total",0.0667186383627742,0.0784313707509923,0.0217646479320268
"psqi_quality","PSQI Sleep Quality",0.347127780700085,0.430127325243114,0.102878014459357
"psqi_latency","PSQI Sleep Latency",0.121588217520959,0.611013261098418,0.563746580625162
"psqi_duration","PSQI Sleep Duration",0.682550994586498,0.698079433225416,0.456312766426132
"psqi_efficiency","PSQI Sleep Efficiency",0.325247040984657,0.764710040023665,0.621817672902508
"psqi_disturbances","PSQI Sleep Disturbances",0.0795467613214087,0.270689993090391,0.793567251762244
"psqi_medication","PSQI Sleep Medication",0.000352550682665586,0.000893505495903719,0.000216772460061216
"psqi_dysfunction","PSQI Daytime Dysfunction",0.0159068587346352,0.270689993090392,0.216856172000503
"mmrc_score","MMRC",0.00413013368138457,0.622506414687179,0.931906623459567
"sfpa_sum","SFPA Sum",0.898694927608565,0.359869010414572,0.12110226524634
"pcfs_score","PCFS",0.780734458215805,0.175123132963896,0.722566115689974
"mip_pre_max","MIP Max (Pre)",0.509162223399279,0.370726524277436,0.845953236774874
"mip_post_max","MIP Max (Post)",0.0278564560596363,0.338851477026782,0.364304120667899
"mip_predicted1","Age/Weight Predicted MIP (1)",0.000114069350653793,0.487846925850393,0.867937806160394
"mip_predicted2","Age/Weight Predicted MIP (2)",0.00117015947232259,0.645372173861923,0.857518341188458
"mip_pre_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Pre-Activity) (1)",0.669119459387325,0.625275727966363,0.404946396003391
"mip_pre_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Pre-Activity) (2)",0.926231735752461,0.919012728925793,0.935375677264859
"mip_post_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Post-Activity) (1)",0.04273610573577,0.47777397008346,0.123633267598105
"mip_post_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Post-Activity) (2)",0.651694775134314,0.452234829146628,0.0823637785225746
"mip_max_fatigue","MIP Max Fatigue",0.8327038438849,0.764152725497763,0.605169937525657
"mip_max_fatigue_percent","MIP Max Fatigue (%)",0.719879407764693,0.100328237293507,0.784739724332951
"smip_pre_max","SMIP Max (Pre)",0.193526617623591,0.540903805619032,0.17110597268185
"smip_post_max","SMIP Max (Post)",0.304949291345857,0.932507311889046,0.496172487100448
"smip_max_fatigue","SMIP Max Fatigue",0.441429404160226,0.879020681638737,0.179533286887308
"smip_max_fatigue_percent","SMIP Max Fatigue (%)",0.0515212647804206,0.423537598337749,0.932517614279681
"pif_pre_max","PIF Max (Pre)",0.114928464620225,0.721582050246785,0.806625559935434
