"data_source","outcome","respiratory","pearson_r","pearson_p","spearman_rho","spearman_p","n"
"combined_visits","fss_sum","mip_pre_max",-0.473685037917142,0.00201932659869272,-0.484243768302572,0.00154475927519088,40
"visit1_only","fss_sum","mip_pre_max",-0.215891193420929,0.334567157679619,-0.213073141578637,0.341066983391125,22
"combined_visits","fss_sum","mip_pre_max_percentpredict_1",-0.582217224785903,8.11097955461743e-05,-0.54303045315638,0.000293978694604173,40
"visit1_only","fss_sum","mip_pre_max_percentpredict_1",-0.252245917626657,0.257420176323593,-0.265837486777743,0.231786382473741,22
"combined_visits","fss_sum","mip_pre_max_percentpredict_2",-0.596149088273646,4.92617355598578e-05,-0.530917202515333,0.000424249010660948,40
"visit1_only","fss_sum","mip_pre_max_percentpredict_2",-0.298566914659614,0.177117490016376,-0.259615758363796,0.243304545122214,22
"combined_visits","fss_sum","mip_pre_max_percentpredict_3",-0.540635997361935,0.00031643555750606,-0.523029504423489,0.00053478645827851,40
"visit1_only","fss_sum","mip_pre_max_percentpredict_3",-0.228082764029693,0.307304976915945,-0.188348687440401,0.401235357053041,22
"combined_visits","fss_sum","mip_pre_max_percentpredict_4",-0.540635997361935,0.00031643555750606,-0.523029504423489,0.00053478645827851,40
"visit1_only","fss_sum","mip_pre_max_percentpredict_4",-0.228082764029693,0.307304976915945,-0.188348687440401,0.401235357053041,22
"combined_visits","fss_sum","mip_pre_max_percentpredict_5",-0.545499713974275,0.000272329991986154,-0.498709101973636,0.00105524916444015,40
"visit1_only","fss_sum","mip_pre_max_percentpredict_5",-0.201740183444499,0.367951083932379,-0.191742357484372,0.392646915647163,22
"combined_visits","fss_sum","sindex_pre_max_percentpredict",-0.527813523894292,0.00055403577383922,-0.492629084708041,0.00144284489095819,39
"visit1_only","fss_sum","sindex_pre_max_percentpredict",-0.41366420579152,0.0556541297049703,-0.343326286115085,0.117739891750341,22
"combined_visits","fss_sum","smip_pre_max",-0.261026435462503,0.103764505145009,-0.263956182573506,0.0998041517527985,40
"visit1_only","fss_sum","smip_pre_max",-0.177129471638325,0.430357228380605,-0.136878025106838,0.543579429981009,22
"combined_visits","fss_sum","fit_pre_max",-0.123633667495694,0.447221060623814,-0.190308723517144,0.23949953209987,40
"visit1_only","fss_sum","fit_pre_max",-0.310576385076085,0.159494955698472,-0.175769311480105,0.433962933921232,22
"combined_visits","fss_sum","pif_pre_max",-0.38872290797445,0.0144598057450414,-0.351141581435459,0.0283898042571531,39
"visit1_only","fss_sum","pif_pre_max",-0.254622302783974,0.252812600081505,-0.221686987806276,0.321432732392629,22
"combined_visits","fss_sum","sindex_pre_max",-0.381060364118526,0.0166939776181807,-0.349269941124599,0.0293037388506007,39
"visit1_only","fss_sum","sindex_pre_max",-0.26304783126592,0.236905803234451,-0.217908764770193,0.329959222978998,22
"combined_visits","fss_sum","volume_pre_max",0.19303430860788,0.239039534775112,0.162067740138531,0.324270643106946,39
"visit1_only","fss_sum","volume_pre_max",0.0885445016827615,0.695177055231172,0.0843513121969061,0.708988784838823,22
"combined_visits","fss_sum","id_pre_max",0.0109084603667353,0.955213225969785,-0.0722922371083227,0.709394554634334,29
"visit1_only","fss_sum","id_pre_max",-0.101662141009392,0.707931843294259,-0.110701860692512,0.683166261196743,16
"combined_visits","fss_sum","slopesmip_pre_max",-0.248208074980053,0.194193149428115,-0.248211571778064,0.194186661960581,29
"visit1_only","fss_sum","slopesmip_pre_max",-0.178600101903331,0.508097333908225,-0.0516608683231722,0.849303888939724,16
"combined_visits","fss_sum","mip_post_max",-0.493234522225805,0.00122135897402398,-0.582393901159928,8.06099488754801e-05,40
"visit1_only","fss_sum","mip_post_max",-0.486580786651584,0.0216543150392988,-0.484437209007471,0.0223264449040289,22
"combined_visits","fss_sum","mip_post_max_percentpredict_1",-0.600223633178151,4.23895646249929e-05,-0.573360530342877,0.000110075884596549,40
"visit1_only","fss_sum","mip_post_max_percentpredict_1",-0.516657611049161,0.0138187381132803,-0.456448620914125,0.0327356746985068,22
"combined_visits","fss_sum","mip_post_max_percentpredict_2",-0.61544980210258,2.37325408480499e-05,-0.605193026213534,3.51935152733953e-05,40
"visit1_only","fss_sum","mip_post_max_percentpredict_2",-0.540163461455176,0.00945621802811806,-0.523190798445558,0.0124684287118068,22
"combined_visits","fss_sum","mip_post_max_percentpredict_3",-0.562146642579765,0.000160048075619968,-0.600779671328812,4.15226718933396e-05,40
"visit1_only","fss_sum","mip_post_max_percentpredict_3",-0.479407600126238,0.0239692518741056,-0.490950933027832,0.0203343156447919,22
"combined_visits","fss_sum","mip_post_max_percentpredict_4",-0.562146642579765,0.000160048075619968,-0.600779671328812,4.15226718933396e-05,40
"visit1_only","fss_sum","mip_post_max_percentpredict_4",-0.479407600126238,0.0239692518741056,-0.490950933027832,0.0203343156447919,22
"combined_visits","fss_sum","mip_post_max_percentpredict_5",-0.571152052137108,0.000118623935301988,-0.587539606674645,6.72220597051554e-05,40
"visit1_only","fss_sum","mip_post_max_percentpredict_5",-0.452687934215725,0.0343860576203397,-0.451358115848168,0.0349850834293642,22
"combined_visits","fss_sum","sindex_post_max_percentpredict",-0.579172152405278,0.000111967932632513,-0.594356686733313,6.6199910559112e-05,39
"visit1_only","fss_sum","sindex_post_max_percentpredict",-0.571398976060806,0.00547142747723624,-0.59954837443491,0.00318702051608779,22
"combined_visits","fss_sum","smip_post_max",-0.348169612863949,0.0276944076142429,-0.388317757953616,0.0132830518643466,40
"visit1_only","fss_sum","smip_post_max",-0.271067153209069,0.222385772996724,-0.26711958253683,0.22945804905305,22
"combined_visits","fss_sum","fit_post_max",-0.148642269132427,0.359989423545582,-0.239582528750219,0.136490862660861,40
"visit1_only","fss_sum","fit_post_max",-0.316276722018985,0.15157408294835,-0.285351104665874,0.198006466621016,22
"combined_visits","fss_sum","pif_post_max",-0.421137712709023,0.00758784745705452,-0.459089329311971,0.00328450662737877,39
"visit1_only","fss_sum","pif_post_max",-0.434963844865544,0.043065570732994,-0.455302107663558,0.033232052920452,22
"combined_visits","fss_sum","sindex_post_max",-0.425948763516059,0.00685862118560859,-0.479379105360624,0.00201670311147857,39
"visit1_only","fss_sum","sindex_post_max",-0.458658213976888,0.0317955606147589,-0.49091551968763,0.0203447458303529,22
"combined_visits","fss_sum","volume_post_max",-0.069060195696084,0.676131190796865,0.187956583382327,0.251858508944372,39
"visit1_only","fss_sum","volume_post_max",0.208151226530838,0.352596729828889,0.229940542493541,0.303273568910549,22
"combined_visits","fss_sum","id_post_max",0.0250335610833263,0.897436883939842,-0.11497673205624,0.552573506873839,29
"visit1_only","fss_sum","id_post_max",-0.12104472976346,0.655198840290867,-0.166790803443385,0.536974978781394,16
"combined_visits","fss_sum","slopesmip_post_max",-0.263111254394289,0.167891096767138,-0.265976217074307,0.16313930580391,29
"visit1_only","fss_sum","slopesmip_post_max",-0.105578381255876,0.697167392431411,-0.107749811074045,0.691221953652211,16
"combined_visits","fss_sum","bdi_sum",0.112011382972386,0.491371878367657,0.0258991746631147,0.873957934479292,40
"visit1_only","fss_sum","bdi_sum",-0.784454243644402,1.54970961507782e-05,-0.808172109316289,5.37088746942108e-06,22
"combined_visits","fss_sum","mmrc_score",0.595124644752048,5.11418437177632e-05,0.62259101463051,1.78899903011803e-05,40
"visit1_only","fss_sum","mmrc_score",0.613421418015811,0.00239713139494715,0.623155937003477,0.00194744778269318,22
"combined_visits","fss_sum","cpet_ve",-0.410419854251451,0.0176746202971468,-0.519374662784277,0.00195253164986972,33
"visit1_only","fss_sum","cpet_ve",-0.511206955653994,0.0212417154090214,-0.565186071295646,0.00940921221096685,20
"combined_visits","fss_sum","cpet_vt_peak",-0.0998589557262875,0.574183553184901,-0.172749015800342,0.328576466774952,34
"visit1_only","fss_sum","cpet_vt_peak",-0.0994031723554862,0.676710678744547,-0.165034332818329,0.486852204363709,20
"combined_visits","fss_sum","cpet_o2pulse",-0.238011273224127,0.182265259791012,-0.317349133302929,0.0719270650645888,33
"visit1_only","fss_sum","cpet_o2pulse",-0.229621401059505,0.330119592310332,-0.254710522797238,0.27847342695809,20
"combined_visits","fss_sum","fmd_percent",-0.342206947941595,0.0381558598267445,-0.176184336856921,0.296905761674434,37
"visit1_only","fss_sum","fmd_percent",0.23074762060309,0.327687244308996,0.32616930012067,0.160473327981263,20
"combined_visits","fss_sum","cpet_vo2peak_absolute",-0.378658819010757,0.0208306172526565,-0.54204540340733,0.000529727408460326,37
"visit1_only","fss_sum","cpet_vo2peak_absolute",-0.530490609317237,0.0161151365067467,-0.620951096996816,0.00347968928768224,20
"combined_visits","fss_sum","cpet_vo2peak_relative",-0.441427653377385,0.00623822034550906,-0.508219491436432,0.00132085385065785,37
"visit1_only","fss_sum","cpet_vo2peak_relative",-0.608522726491073,0.00441159997367431,-0.585532769862289,0.00667827658916615,20
