"Variable","AUC","AUC_low","AUC_high","Youden_J","Cutpoint","Sens","Sens_low","Sens_high","Spec","Spec_low","Spec_high","Cohens_d"
"mip_pre_max_percentpredict_3",0.986363636363636,0.955871818539158,1,0.9,91.6704782011524,1,0.845627487184425,1,0.9,0.554983882971805,0.997471421455538,3.19485266529096
"mip_pre_max_percentpredict_2",0.977272727272727,0.929257312992683,1,0.9,71.968039848051,1,0.845627487184425,1,0.9,0.554983882971805,0.997471421455538,2.93948182973759
"mip_post_max_percentpredict_3",0.968181818181818,0.914751828755762,1,0.809090909090909,88.2943218289061,0.909090909090909,0.708387258446067,0.988794413975849,0.9,0.554983882971805,0.997471421455538,2.8297234715061
"mip_pre_max_percentpredict_1",0.959090909090909,0.89035704349555,1,0.854545454545454,86.6250336216654,0.954545454545455,0.771555602332367,0.998849852473426,0.9,0.554983882971805,0.997471421455538,2.6383138488331
"mip_post_max_percentpredict_2",0.959090909090909,0.894320408704108,1,0.8,83.2331718800368,1,0.845627487184425,1,0.8,0.443904537692359,0.974789273673167,2.52738335947404
"mip_post_max",0.959090909090909,0.896255473286962,1,0.854545454545454,77.5,0.954545454545455,0.771555602332367,0.998849852473426,0.9,0.554983882971805,0.997471421455538,2.58820719036571
"mip_post_max_percentpredict_1",0.954545454545455,0.88917476631966,1,0.772727272727273,63.2538615052051,0.772727272727273,0.546296376337878,0.921793739648108,1,0.691502892181239,1,2.34794416560322
"mip_pre_max",0.931818181818182,0.796707611185507,1,0.9,76.5,1,0.845627487184425,1,0.9,0.554983882971805,0.997471421455538,2.89340445090184
"sindex_pre_max_percentpredict",0.931818181818182,0.845940266281839,1,0.709090909090909,69.0386827607549,0.909090909090909,0.708387258446067,0.988794413975849,0.8,0.443904537692359,0.974789273673167,2.18739960038128
"sindex_post_max_percentpredict",0.909090909090909,0.801338653886001,1,0.709090909090909,74.0962446852503,0.909090909090909,0.708387258446067,0.988794413975849,0.8,0.443904537692359,0.974789273673167,2.04507087409663
"pif_pre_max",0.863636363636364,0.69976698612578,1,0.709090909090909,3.75,0.909090909090909,0.708387258446067,0.988794413975849,0.8,0.443904537692359,0.974789273673167,1.63143398156816
"sindex_pre_max",0.861363636363636,0.695999992828053,1,0.709090909090909,64.5,0.909090909090909,0.708387258446067,0.988794413975849,0.8,0.443904537692359,0.974789273673167,1.59627671199429
"smip_pre_max",0.852272727272727,0.699914898002061,1,0.663636363636364,419,0.863636363636364,0.650877902742592,0.970944148871253,0.8,0.443904537692359,0.974789273673167,1.66424646334592
"pif_post_max",0.852272727272727,0.679669960702583,1,0.709090909090909,4.05,0.909090909090909,0.708387258446067,0.988794413975849,0.8,0.443904537692359,0.974789273673167,1.66572322589979
"sindex_post_max",0.845454545454545,0.667580296061025,1,0.709090909090909,69,0.909090909090909,0.708387258446067,0.988794413975849,0.8,0.443904537692359,0.974789273673167,1.69188155654315
"smip_post_max",0.818181818181818,0.625491479651657,1,0.618181818181818,302,0.818181818181818,0.597154216922129,0.948132700687563,0.8,0.443904537692359,0.974789273673167,1.48123702407255
"id_pre_max",0.8,0.619152678840321,0.980847321159679,0.625,5.26,0.625,0.354346094302078,0.848016324918878,1,0.691502892181239,1,0.837170404254254
"fit_pre_max",0.740909090909091,0.564671384863154,0.917146796955028,0.536363636363636,9.1,0.636363636363636,0.406576668825647,0.828020562353668,0.9,0.554983882971805,0.997471421455538,0.550243578221779
"fit_post_max",0.665909090909091,0.441738318624477,0.890079863193705,0.427272727272727,11.3,0.727272727272727,0.497778798733651,0.892710751629603,0.7,0.347547149940003,0.933260488822266,0.366012374520351
"id_post_max",0.65,0.425903879905595,0.874096120094405,0.3875,7.585,0.6875,0.413379363548641,0.889830045282883,0.7,0.347547149940003,0.933260488822266,0.433822723879877
"slopesmip_post_max",0.61875,0.396791950955741,0.840708049044259,0.3,8.388,0.5,0.246510111490575,0.753489888509425,0.8,0.443904537692359,0.974789273673167,0.119589168341714
"volume_post_max",0.615909090909091,0.392735263934066,0.839082917884116,0.254545454545455,3.5,0.954545454545455,0.771555602332367,0.998849852473426,0.3,0.0667395111777345,0.652452850059997,0.581760047020008
"volume_pre_max",0.579545454545455,0.33886435867965,0.820226550411259,0.3,3.9,1,0.845627487184425,1,0.3,0.0667395111777345,0.652452850059997,0.495513296011211
"slopesmip_pre_max",0.54375,0.315744717458435,0.771755282541565,0.2625,8.181,0.5625,0.298776899083177,0.802465859467332,0.7,0.347547149940003,0.933260488822266,-0.430095383714505
