"outcome","resp_type","N","n_subjects","covariates","AIC_random_intercept","AIC_random_slope","AIC_random_int_slope","best_random_structure"
"fss_sum","mip",80,22,"data_age, subject_female",585.79529794754,NA,581.846200303712,"random_int_slope"
"fss_sum","fit",80,22,"data_age, subject_female",597.715500528326,NA,NA,"random_intercept"
"fss_sum","id",58,17,"data_age, subject_female",425.519042631379,437.686093270321,426.74810832121,"random_intercept"
"fss_sum","slopesmip",58,17,"data_age, subject_female",421.145794581672,NA,NA,"random_intercept"
"fss_sum","sindex",78,22,"data_age, subject_female",575.190210117996,NA,576.10900361986,"random_intercept"
"fss_sum","pif",78,22,"data_age, subject_female",574.26683084441,NA,576.140545898679,"random_intercept"
"fss_sum","volume",78,22,"data_age, subject_female",579.864801902537,NA,NA,"random_intercept"
"woods_sum","mip",80,22,"data_age, subject_female",509.596983873153,NA,508.039265595637,"random_int_slope"
"woods_sum","fit",80,22,"data_age, subject_female",514.17799410759,NA,NA,"random_intercept"
"woods_sum","id",58,17,"data_age, subject_female",360.948394361384,NA,364.867659366163,"random_intercept"
"woods_sum","slopesmip",58,17,"data_age, subject_female",360.892037056583,393.193369445228,364.89167304855,"random_intercept"
"woods_sum","sindex",78,22,"data_age, subject_female",505.472435139076,NA,NA,"random_intercept"
"woods_sum","pif",78,22,"data_age, subject_female",504.704982104956,NA,497.720227612761,"random_int_slope"
"woods_sum","volume",78,22,"data_age, subject_female",507.984844111782,NA,511.59914522857,"random_intercept"
"dsq_sum","mip",80,22,"data_age, subject_female",544.91854058439,NA,533.572280380033,"random_int_slope"
"dsq_sum","smip",80,22,"data_age, subject_female",NA,NA,537.411323921123,"random_int_slope"
"dsq_sum","fit",80,22,"data_age, subject_female",571.126833165141,NA,570.029015292139,"random_int_slope"
"dsq_sum","id",58,17,"data_age, subject_female",410.740499425719,NA,402.125078306576,"random_int_slope"
"dsq_sum","slopesmip",58,17,"data_age, subject_female",NA,NA,400.027046161867,"random_int_slope"
"dsq_sum","sindex",78,22,"data_age, subject_female",548.653848282773,NA,526.949791908861,"random_int_slope"
"dsq_sum","pif",78,22,"data_age, subject_female",548.331385026211,NA,527.1288940634,"random_int_slope"
"dsq_sum","volume",78,22,"data_age, subject_female",555.664059739218,NA,NA,"random_intercept"
