"outcome","resp_type","predictor","N","n_subjects","beta_interaction","se_interaction","t_interaction","p_interaction","r_squared","adj_r_squared","covariates"
"fss_sum","mip","mip_c",44,22,-0.0963710835701345,0.176655303167756,-0.545531788981271,0.588417309852663,0.141684934667593,0.077311304767663,"none"
"fss_sum","smip","smip_c",44,22,-0.0119045291635419,0.0212286744427843,-0.560775906928486,0.578078251595702,0.0524261256358706,-0.018641914941439,"none"
"fss_sum","fit","fit_c",44,22,-0.0464319362889508,0.155676180343747,-0.298259734960255,0.767048815046151,0.0982443279290013,0.0306126525236764,"none"
"fss_sum","id","id_c",32,16,-0.0746666305964267,0.705996011829377,-0.105760697433617,0.91652627906309,0.0124935087590612,-0.0933107581596109,"none"
"fss_sum","slopesmip","slopesmip_c",32,16,0.0654977541987223,0.204125739184642,0.320869648582025,0.750691863873219,0.0215223954942457,-0.0833144907027994,"none"
"fss_sum","sindex","sindex_c",44,22,-0.0871540053459841,0.207546820212171,-0.419924551274207,0.676787671666565,0.139780759391087,0.0752643163454181,"none"
"fss_sum","pif","pif_c",44,22,-1.42980902999419,3.48371201093185,-0.410426873836718,0.683683062420367,0.127013031707615,0.0615390090856863,"none"
"fss_sum","volume","volume_c",44,22,1.8180664187713,4.62809470487212,0.392832587642896,0.696528893091029,0.0255835309422704,-0.0474977042370592,"none"
"woods_sum","mip","mip_c",44,22,0.0324116382505722,0.134067556183729,0.241756015945832,0.81020435874747,0.0870546114748105,0.0185837073354214,"none"
"woods_sum","smip","smip_c",44,22,-0.00260708936207683,0.0158592300489569,-0.164389403144342,0.870252508312371,0.0233576357847088,-0.0498905415314381,"none"
"woods_sum","fit","fit_c",44,22,-0.0383199480135168,0.120408009635531,-0.318250821764344,0.751950398918265,0.00377063284659559,-0.0709465696899096,"none"
"woods_sum","id","id_c",32,16,-0.168749989882423,0.536558093970644,-0.31450460216458,0.755469429464836,0.0105123703098894,-0.0955041614426226,"none"
"woods_sum","slopesmip","slopesmip_c",32,16,0.0719949039828463,0.14663624171258,0.490976194847948,0.627269530099233,0.124049841196987,0.0301980384680927,"none"
"woods_sum","sindex","sindex_c",44,22,-0.0511124959026753,0.162793392001767,-0.313971564043093,0.755174292469038,0.0226399896167935,-0.0506620111619469,"none"
"woods_sum","pif","pif_c",44,22,-0.938608726104529,2.71222773956742,-0.346065602239666,0.731107110864804,0.0228086533310821,-0.0504806976690866,"none"
"woods_sum","volume","volume_c",44,22,1.24047493066,3.43704182071293,0.360913540005369,0.72006327318471,0.00753817530470569,-0.0668964615474414,"none"
"dsq_sum","mip","mip_c",44,22,-0.0680278277956182,0.193979646255815,-0.350695699825667,0.727656922001138,0.0777086264943082,0.00853677348138138,"none"
"dsq_sum","smip","smip_c",44,22,-0.00542564271877374,0.0230124337474656,-0.235770052759903,0.814814135513064,0.00767285672106249,-0.0667516790248579,"none"
"dsq_sum","fit","fit_c",44,22,0.0166456290188349,0.173630086061543,0.0958683451492094,0.924103835270184,0.000329323147896729,-0.0746459776160111,"none"
"dsq_sum","id","id_c",32,16,-0.000319499801291137,0.653349962840373,-0.000489017860967106,0.999613287723811,4.93246914395166e-06,-0.107137396194876,"none"
"dsq_sum","slopesmip","slopesmip_c",32,16,0.0543210690154844,0.173717072882761,0.312698505184604,0.756826882377573,0.162063694368676,0.0722848044796056,"none"
"dsq_sum","sindex","sindex_c",44,22,-0.0923682931527215,0.216443706417728,-0.426754349578797,0.671846464658114,0.166262467434337,0.103732152491912,"none"
"dsq_sum","pif","pif_c",44,22,-1.7402506487101,3.62968437090703,-0.479449580425975,0.634229907324175,0.155453754061175,0.092112785615763,"none"
"dsq_sum","volume","volume_c",44,22,0.671429598546899,4.94125426228912,0.135882422337815,0.892595787016093,0.0101326747633705,-0.0641073746293768,"none"
