Outcome,Linearity,Homogeneity of Variance,Normality of Residuals
fmd_percent_post,OK,OK,OK
fmd_shear_baseline_post,OK,OK,OK
fmd_shear_maximum_post,OK,OK,OK
fmd_velocity_baseline_post,OK,OK,OK
fmd_velocity_maximum_post,OK,OK,OK
fmd_shear_areatomaximum_post,OK,OK,OK
fmd_shear_auc_post,OK,OK,OK
cpet_sbp_sitting_post,OK,OK,OK
cpet_dbp_sitting_post,OK,OK,OK
cpet_vo2peak_relative_post,OK,OK,OK
cpet_vo2peak_absolute_post,OK,OK,OK
cpet_ve_post,OK,OK,OK
cpet_rr_peak_post,OK,OK,OK
cpet_vt_peak_post,OK,OK,OK
cpet_o2pulse_post,OK,OK,OK
cpet_rer_post,OK,OK,OK
fss_sum_post,OK,OK,OK
dsq_sum_post,OK,OK,OK
woods_sum_post,OK,OK,OK
vas_fatiguecurrent_post,OK,OK,OK
psqi_sum_post,OK,OK,OK
psqi_disturbances_post,OK,OK,OK
mmrc_score_post,OK,OK,OK
sfpa_sum_post,OK,OK,OK
pcfs_score_post,OK,OK,OK
mip_pre_max_post,OK,OK,OK
mip_post_max_post,OK,OK,OK
smip_pre_max_post,OK,OK,OK
smip_post_max_post,OK,OK,OK
pif_pre_max_post,OK,OK,OK
pif_post_max_post,OK,OK,OK
