model_type,outcome,respiratory,beta,std_error,statistic,p_value,adj_r2,conditional_r2
Model1_two_timepoints_resp_only,dsq_sum,mip_pre_max_percentpredict_2,-0.385563764682466,0.0382243810570977,-3.79445659195609,0.000873370913988309,0.152134166923138,0.765621170780493
Model1_two_timepoints_resp_only,dsq_sum,sindex_post_max,-0.373206847028107,0.0545563054931135,-3.04959220178684,0.0048200880786088,0.147701284818402,0.68168073670613
Model1_two_timepoints_resp_only,dsq_sum,mip_pre_max_percentpredict_1,-0.373032125710215,0.0334702778535209,-3.67924293564552,0.0011794583777229,0.145453711372523,0.74867818267825
Model1_two_timepoints_resp_only,dsq_sum,pif_post_max,-0.370791907109244,0.963006985343789,-3.0603087379261,0.00474532415686107,0.14517730290436,0.688256507364587
Model1_two_timepoints_resp_only,dsq_sum,mip_pre_max,-0.372048362537444,0.0313487393532782,-3.78243124223906,0.00095711317050243,0.137978156118057,0.780112967250442
Model1_two_timepoints_resp_only,dsq_sum,mip_post_max_percentpredict_2,-0.361203166006445,0.0430144104046458,-3.27265420873416,0.0029694684624115,0.137373823277463,0.713194117679897
Model1_two_timepoints_resp_only,dsq_sum,mip_post_max_percentpredict_1,-0.346505090086732,0.0364804005401379,-3.13637763024798,0.00421041074406095,0.128638319266073,0.691269518701505
Model1_two_timepoints_resp_only,dsq_sum,mip_post_max,-0.346972983985405,0.0346004888944556,-3.2181336698611,0.00352332494974696,0.123240885789007,0.732383201696404
Model1_two_timepoints_resp_only,dsq_sum,pif_pre_max,-0.33666297282336,0.998840192416321,-2.8295482830055,0.00869647188190823,0.119328640823281,0.681420134323036
Model1_two_timepoints_resp_only,dsq_sum,sindex_pre_max,-0.332030058905437,0.0559475064606241,-2.79992883218853,0.0093843957654558,0.116454088037658,0.677090536221904
Model1_two_timepoints_resp_only,dsq_sum,smip_post_max,-0.327848639984458,0.008972014891129,-2.67701580475168,0.0121460134394521,0.10066796669204,0.750913261535482
Model1_two_timepoints_resp_only,dsq_sum,smip_pre_max,-0.310531432913863,0.00839575601549931,-2.21825066024379,0.0331514043268158,0.0890703002167171,0.734709101727494
Model1_two_timepoints_resp_only,dsq_sum,slopesmip_pre_max,-0.20841568236171,0.0873057657570008,-1.20582302711433,0.239061355982933,0.0435769372113817,0.567657458066041
Model1_two_timepoints_resp_only,dsq_sum,volume_post_max,-0.185862992693786,0.0892810423589616,-1.52520346630705,0.139840585232362,0.0350882811030124,0.643548323410722
Model1_two_timepoints_resp_only,dsq_sum,slopesmip_post_max,-0.138713106574483,0.054572889494099,-0.715628774008758,0.48042342591645,0.0192897904765542,0.54455553412934
Model1_two_timepoints_resp_only,dsq_sum,volume_pre_max,0.0567027346681631,2.60367832434091,0.352321313473513,0.726597339829512,0.00321820691236389,0.620722548439565
Model1_two_timepoints_resp_only,dsq_sum,id_pre_max,-0.0520865968434929,0.360003620419286,-0.271081346969937,0.788419344890614,0.00265807398802327,0.571253716599887
Model1_two_timepoints_resp_only,dsq_sum,id_post_max,-0.0267533997086142,0.422308248613681,-0.132719851503474,0.895470131249471,0.000701506647628681,0.56979677882229
Model1_two_timepoints_resp_only,dsq_sum,fit_pre_max,-0.0108770622965661,0.0959921985111827,-0.0680278157951834,0.946172842977923,0.000116745576697493,0.635998296191691
Model1_two_timepoints_resp_only,dsq_sum,fit_post_max,-0.00763307421594482,0.125353072551399,-0.0475222723594639,0.962390598559003,5.74650342968663E-05,0.636453791858151
Model1_two_timepoints_resp_only,fss_sum,mip_post_max_percentpredict_2,-0.61404484659309,0.0521998931788398,-5.31860785015269,7.93422615339984E-06,0.370701457236479,0.658068134570989
Model1_two_timepoints_resp_only,fss_sum,mip_post_max_percentpredict_1,-0.582818478054469,0.0454827415651155,-4.90873912806741,2.57297312875223E-05,0.340205970041116,0.606637716467001
Model1_two_timepoints_resp_only,fss_sum,mip_pre_max_percentpredict_2,-0.57973810793446,0.0527403616151508,-4.79719676315198,3.28090780157312E-05,0.337195865581187,0.587552144436051
Model1_two_timepoints_resp_only,fss_sum,mip_pre_max_percentpredict_1,-0.557237921756863,0.0468306545997896,-4.55708291361034,6.8762380497682E-05,0.314168313320542,0.556803054200967
Model1_two_timepoints_resp_only,fss_sum,mip_post_max,-0.528425724578048,0.0459424849485337,-4.28218150070534,0.000173187013197328,0.263996961768124,0.628543638382525
Model1_two_timepoints_resp_only,fss_sum,mip_pre_max,-0.487468243636986,0.0470029583734407,-3.83458005077857,0.000583060920641877,0.230461087116834,0.566959871979879
Model1_two_timepoints_resp_only,fss_sum,sindex_post_max,-0.48066003026054,0.0724425799144131,-3.4336442508316,0.00156587078123699,0.216371737158563,0.563068579482914
Model1_two_timepoints_resp_only,fss_sum,pif_post_max,-0.477952463018301,1.28641102976806,-3.42802089274956,0.00160415105277338,0.213678305927544,0.565708814111641
Model1_two_timepoints_resp_only,fss_sum,pif_pre_max,-0.422989561443113,1.37963465265404,-2.98784042419133,0.00522066085369884,0.171326682986439,0.504198054861333
Model1_two_timepoints_resp_only,fss_sum,smip_post_max,-0.42159625879287,0.0123806103446679,-2.89419091083139,0.00638949120365188,0.162699625595552,0.544852063155573
Model1_two_timepoints_resp_only,fss_sum,sindex_pre_max,-0.4047451455972,0.078177452414346,-2.83546661601455,0.00768142065900788,0.158159532198984,0.478337921941194
Model1_two_timepoints_resp_only,fss_sum,slopesmip_post_max,-0.320826185773346,0.0654294082428427,-1.64543551729136,0.111888732061906,0.0963813299318964,0.524325936490974
Model1_two_timepoints_resp_only,fss_sum,smip_pre_max,-0.298732834031805,0.0111585872283397,-1.86270274851227,0.0704489972970139,0.0846349207110749,0.417705941960221
Model1_two_timepoints_resp_only,fss_sum,slopesmip_pre_max,-0.240618491510478,0.110503569817549,-1.31094841421949,0.200994622685298,0.0564436607967551,0.447818517115534
Model1_two_timepoints_resp_only,fss_sum,volume_pre_max,0.16251079601202,3.17807936299312,0.960315186704841,0.344041801250482,0.0259429083448229,0.282830359665261
Model1_two_timepoints_resp_only,fss_sum,fit_post_max,-0.153318475814386,0.147292527628094,-0.942435036535695,0.352532083683884,0.0228207614017954,0.325758065710815
