"Outcome","Outcome Name","IMT Before","IMT After","IMT vs Control F-Score","IMT vs Control p-value"
"fmd_percent","Flow-Mediated Dilation","5.34","9.10","4.59","0.060"
"fmd_shear_baseline","Baseline Shear","216.33","269.19","0.04","0.895"
"fmd_shear_maximum","Maximum Shear","711.51","758.23","0.20","0.757"
"fmd_velocity_baseline","Baseline Velocity","18.99","27.71","0.09","0.781"
"fmd_velocity_maximum","Maximum Velocity","62.77","74.58","0.15","0.762"
"fmd_shear_areatomaximum","Shear Area to Maximum","9374.83","10094.67","1.38","0.465"
"fmd_shear_auc","Shear AUC","18019.74","17705.04","1.70","0.095"
"cpet_sbp_sitting","Sitting Systolic BP","111.86","114.00","3.65","0.810"
"cpet_dbp_sitting","Sitting Diastolic BP","72.29","70.57","6.20","0.904"
"cpet_vo2peak_relative","VO2 Peak (mL/kig/min)","24.90","28.64","22.53","0.061"
"cpet_vo2peak_absolute","VO2 Peak (L/min)","1.83","2.13","26.82","0.037"
"cpet_vevo2","VE/VO2 at Peak","25.91","29.19","14.66","0.587"
"cpet_vevco2slope_peak","VE/VCO2 Slope at Peak","24.89","24.94","14.22","0.416"
"cpet_vevco2slope_at_vslope","VE/VCO2 Slope at VT","24.94","22.02","9.33","0.114"
"cpet_vevco2_peak","VE/VCO2 at Peak","26.92","27.87","18.15","0.121"
"cpet_vevco2_at_vslope","VE/VCO2 at VT","27.68","28.61","16.96","0.332"
"cpet_ve","VE","48.26","64.73","18.61","0.029"
"cpet_rr_peak","Peak Respiratory Rate","33.57","35.78","102.93","0.336"
"cpet_vt_peak","Peak Tidal Volume","1.57","1.91","4.42","0.113"
"cpet_o2pulse","Peak O2 Pulse","11.54","13.73","7.74","0.053"
"cpet_petco2_peak","Peak PETCO2","34.20","34.21","13.21","0.859"
"cpet_petco2_at_vslope","PETCO2 at VT","33.25","33.81","23.91","0.586"
"cpet_petco2_change","Change in PETCO2 from AT to Peak","0.95","0.40","7.20","0.043"
"cpet_rer","Peak RER","0.97","1.05","7.50","0.177"
"fss_sum","Fatigue Severity","48.29","31.71","5.68","0.155"
"dsq_sum","Post-Exertional Malaise (DSQ)","21.43","12.86","12.16","0.039"
"woods_sum","Mental Fatigue","21.86","12.43","4.29","0.042"
"vas_fatiguebest","VAS Fatigue - Best","3.00","1.29","11.70","0.036"
"vas_fatigueworst","VAS Fatigue - Worst","9.14","7.29","8.80","0.044"
"vas_fatiguecurrent","VAS Fatigue - Current","4.57","1.29","6.64","0.005"
"psqi_sum","PSQI Total","7.00","5.43","33.65","0.011"
"psqi_wake","PSQI Wake (Subcomponent of Disturbances), unit = ''","2.29","1.57","7.42","0.088"
"psqi_quality","PSQI Sleep Quality","1.57","1.00","2.15","0.139"
"psqi_latency","PSQI Sleep Latency","1.29","1.29","3.59","0.422"
"psqi_duration","PSQI Sleep Duration","0.57","0.57","4.49","0.477"
"psqi_efficiency","PSQI Sleep Efficiency","0.43","0.57","13.84","0.761"
"psqi_disturbances","PSQI Sleep Disturbances","1.71","1.14","5.49","0.053"
"psqi_medication","PSQI Sleep Medication","0.29","0.00","36.74","0.026"
"psqi_dysfunction","PSQI Daytime Dysfunction","1.14","0.86","6.66","0.402"
"mmrc_score","MMRC","2.00","0.71","22.68","0.017"
"sfpa_sum","SFPA Sum","59.29","85.71","4.32","0.055"
"pcfs_score","PCFS","2.57","1.14","4.37","0.022"
"mip_pre_max","MIP Max (Pre)","59.00","123.86","20.04","0.001"
"mip_post_max","MIP Max (Post)","58.29","113.86","10.92","0.003"
"mip_predicted1","Age/Weight Predicted MIP (1)","97.80","96.96","50.60","0.346"
"mip_predicted2","Age/Weight Predicted MIP (2)","112.33","111.97","267.92","0.334"
"mip_pre_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Pre-Activity) (1)","61.96","128.13","48.49","0.000"
"mip_pre_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Pre-Activity) (2)","54.10","111.09","43.35","0.000"
"mip_post_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Post-Activity) (1)","60.16","117.14","8.64","0.002"
"mip_post_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Post-Activity) (2)","52.51","101.13","15.38","0.000"
"mip_max_fatigue","MIP Max Fatigue","0.71","10.00","1.84","0.083"
"mip_max_fatigue_percent","MIP Max Fatigue (%)","3.80","8.75","1.34","0.205"
"smip_pre_max","SMIP Max (Pre)","274.86","371.57","6.97","0.087"
"smip_post_max","SMIP Max (Post)","207.43","326.86","7.21","0.108"
"smip_max_fatigue","SMIP Max Fatigue","67.43","44.71","0.42","0.416"
"smip_max_fatigue_percent","SMIP Max Fatigue (%)","22.24","9.54","0.33","0.459"
"pif_pre_max","PIF Max (Pre)","3.06","5.21","10.62","0.009"
"pif_post_max","PIF Max (Post)","3.27","5.26","14.55","0.008"
"pif_max_fatigue","PIF Max Fatigue","-0.21","-0.04","0.00","0.956"
"pif_max_fatigue_percent","PIF Max Fatigue (%)","-7.66","-0.56","0.16","0.922"
"sindex_pre_max","SIndex Max (Pre)","53.14","92.29","9.31","0.010"
"sindex_post_max","SIndex Max (Post)","57.43","93.14","15.16","0.011"
"sindex_max_fatigue","SIndex Max Fatigue","-4.29","-0.86","0.00","0.954"
"sindex_max_fatigue_percent","SIndex Max Fatigue (%)","-8.62","-0.68","0.19","0.824"
"fit_pre_max","FIT Max (Pre-Activity)","10.94","8.50","2.23","0.827"
"fit_post_max","FIT Max (Post-Activity)","7.07","6.11","4.72","0.548"
"volume_pre_max","Volume Max (Pre-Activity)","2.49","2.39","4.60","0.901"
"volume_post_max","Volume Max (Post-Activity)","2.37","15.70","0.57","0.320"
"hrv_sdnn","HRV SDNN","51.44","50.07","3.49","0.834"
"hrv_rmssd","HRV RMSSD","35.27","36.14","3.14","0.760"
"hrv_heartrate","Heart Rate","69.06","69.61","11.22","0.308"
"hrv_lfhf","HRV LF/HF Ratio","1.20","0.93","0.68","0.292"
"cpet_hrr1","HRR 1","28.00","17.57","1.66","0.878"
"cpet_hrr2","HRR 2","41.43","32.14","3.91","0.610"
"cpet_chronindex","Chronotropic Index (CI)","0.82","0.79","1.45","0.668"
