"Outcome","Outcome Name","IMT Before","IMT After","IMT Mean Difference (95% CI)","IMT p-value","Control Before","Control After","Control Mean Difference (95% CI)","Control p-value"
"fmd_percent","Flow-Mediated Dilation","5.34","9.10","3.76 (0.57 to 6.95)","0.028","4.60","5.17","0.57 (0.22 to 0.92)","0.008"
"fmd_shear_baseline","Baseline Shear","216.33","269.19","52.86 (-313.20 to 418.92)","0.736","167.83","302.17","134.34 (-173.39 to 442.08)","0.327"
"fmd_shear_maximum","Maximum Shear","711.51","758.23","46.72 (-506.52 to 599.95)","0.843","605.66","676.78","71.12 (-278.15 to 420.39)","0.636"
"fmd_velocity_baseline","Baseline Velocity","18.99","27.71","8.72 (-28.97 to 46.42)","0.592","14.16","31.95","17.79 (-15.15 to 50.73)","0.224"
"fmd_velocity_maximum","Maximum Velocity","62.77","74.58","11.81 (-42.69 to 66.31)","0.615","48.96","65.27","16.31 (-22.79 to 55.41)","0.333"
"fmd_shear_areatomaximum","Shear Area to Maximum","9374.83","10094.67","719.84 (-3453.92 to 4893.60)","0.688","12639.63","16293.56","3653.93 (-11538.86 to 18846.72)","0.578"
"fmd_shear_auc","Shear AUC","18019.74","17705.04","-314.70 (-9076.71 to 8447.31)","0.933","16096.20","10782.93","-5313.27 (-23507.78 to 12881.24)","0.502"
"cpet_sbp_sitting","Sitting Systolic BP","111.86","114.00","2.14 (-4.83 to 9.11)","0.480","127.57","119.86","-7.71 (-24.38 to 8.96)","0.301"
"cpet_dbp_sitting","Sitting Diastolic BP","72.29","70.57","-1.71 (-7.53 to 4.10)","0.498","71.43","69.43","-2.00 (-14.51 to 10.51)","0.709"
"cpet_vo2peak_relative","VO2 Peak (mL/kig/min)","24.90","28.64","3.74 (-0.57 to 8.04)","0.078","19.29","18.26","-1.03 (-5.04 to 2.97)","0.551"
"cpet_vo2peak_absolute","VO2 Peak (L/min)","1.83","2.13","0.30 (-0.02 to 0.61)","0.059","1.51","1.40","-0.11 (-0.40 to 0.19)","0.402"
"cpet_vevo2","VE/VO2 at Peak","25.91","29.19","3.28 (-0.50 to 7.06)","0.076","31.23","32.89","1.66 (-0.55 to 3.86)","0.116"
"cpet_vevco2slope_peak","VE/VCO2 Slope at Peak","24.89","24.94","0.04 (-2.86 to 2.95)","0.971","30.78","29.91","-0.87 (-3.25 to 1.50)","0.402"
"cpet_vevco2slope_at_vslope","VE/VCO2 Slope at VT","24.94","22.02","-2.93 (-7.27 to 1.41)","0.144","27.93","29.70","1.77 (-1.97 to 5.51)","0.278"
"cpet_vevco2_peak","VE/VCO2 at Peak","26.92","27.87","0.94 (-0.81 to 2.70)","0.226","34.33","34.34","0.02 (-3.00 to 3.03)","0.990"
"cpet_vevco2_at_vslope","VE/VCO2 at VT","27.68","28.61","0.93 (-2.36 to 4.22)","0.501","33.46","35.45","1.99 (-1.58 to 5.56)","0.222"
"cpet_ve","VE","48.26","64.73","16.47 (0.09 to 32.85)","0.049","50.08","46.79","-3.29 (-14.42 to 7.83)","0.496"
"cpet_rr_peak","Peak Respiratory Rate","33.57","35.78","2.20 (-1.37 to 5.78)","0.182","31.17","32.05","0.88 (-2.02 to 3.77)","0.487"
"cpet_vt_peak","Peak Tidal Volume","1.57","1.91","0.35 (-0.24 to 0.94)","0.199","1.54","1.41","-0.13 (-0.50 to 0.23)","0.404"
"cpet_o2pulse","Peak O2 Pulse","11.54","13.73","2.18 (-0.21 to 4.57)","0.066","10.95","10.07","-0.88 (-3.44 to 1.67)","0.430"
"cpet_petco2_peak","Peak PETCO2","34.20","34.21","0.01 (-2.88 to 2.89)","0.995","27.19","27.46","0.27 (-1.91 to 2.45)","0.771"
"cpet_petco2_at_vslope","PETCO2 at VT","33.25","33.81","0.56 (-1.56 to 2.67)","0.531","28.00","26.44","-1.57 (-3.86 to 0.73)","0.146"
"cpet_petco2_change","Change in PETCO2 from AT to Peak","0.95","0.40","-0.55 (-2.78 to 1.68)","0.556","-0.81","1.03","1.84 (0.91 to 2.77)","0.003"
"cpet_rer","Peak RER","0.97","1.05","0.08 (-0.03 to 0.18)","0.127","0.90","0.95","0.05 (-0.02 to 0.11)","0.117"
"fss_sum","Fatigue Severity","48.29","31.71","-16.57 (-27.13 to -6.01)","0.009","50.43","42.43","-8.00 (-17.57 to 1.57)","0.087"
"dsq_sum","Post-Exertional Malaise (DSQ)","21.43","12.86","-8.57 (-17.16 to 0.02)","0.050","17.57","19.14","1.57 (-3.90 to 7.04)","0.508"
"woods_sum","Mental Fatigue","21.86","12.43","-9.43 (-17.20 to -1.66)","0.025","20.00","18.00","-2.00 (-4.33 to 0.33)","0.080"
"vas_fatiguebest","VAS Fatigue - Best","3.00","1.29","-1.71 (-2.99 to -0.44)","0.017","3.29","3.29","0.00 (-1.69 to 1.69)","1.000"
"vas_fatigueworst","VAS Fatigue - Worst","9.14","7.29","-1.86 (-3.41 to -0.31)","0.026","8.43","8.43","0.00 (-0.92 to 0.92)","1.000"
"vas_fatiguecurrent","VAS Fatigue - Current","4.57","1.29","-3.29 (-5.89 to -0.69)","0.021","3.00","4.57","1.57 (-0.75 to 3.89)","0.148"
"psqi_sum","PSQI Total","7.00","5.43","-1.57 (-4.18 to 1.04)","0.191","11.71","10.86","-0.86 (-2.74 to 1.03)","0.308"
"psqi_wake","PSQI Wake (Subcomponent of Disturbances), unit = ''","2.29","1.57","-0.71 (-1.41 to -0.02)","0.047","3.00","2.71","-0.29 (-0.74 to 0.17)","0.172"
"psqi_quality","PSQI Sleep Quality","1.57","1.00","-0.57 (-1.62 to 0.48)","0.231","1.57","1.57","0.00 (-0.53 to 0.53)","1.000"
